%    T1-H1  T1-H2  T1-H3  T2-H1  T2-H2  T2-H3  T3-H1  T3-H2  T3-H3  T4-H1  T4-H2  T4-H3  T5-H1  T5-H2  T5-H3
      0.09  -0.71  -0.10  -0.76  -0.41  -0.35   1.38  -1.18   1.33   0.52  -1.82   1.70   0.11  -1.49   1.36
      1.33  -0.98   0.27   0.57  -0.54   0.02   0.76  -1.36   0.88   0.20  -1.78   1.56  -0.54  -1.57   0.97
     -0.40  -1.24  -0.61  -0.68  -0.81  -0.73  -0.15  -1.59   0.35   0.04  -1.72   1.47  -1.26  -1.69   0.50
      0.96  -1.42  -0.29   0.85  -0.94  -0.38  -0.78  -1.76  -0.10   0.02  -1.69   1.40   1.53  -1.88   1.27
      2.33  -1.56   0.11  -0.56  -1.20  -1.13   1.61  -1.94   0.69   0.23  -1.67   1.41   1.18  -1.98   0.97
      0.88  -1.74  -0.60   0.92  -1.29  -0.80   0.53  -2.13   0.09   0.41  -1.64   1.29   0.50  -2.07   0.51
      2.39  -1.74  -0.22  -0.09  -1.46  -1.40  -0.48  -2.29  -0.45   0.89  -1.63   1.32   0.11  -2.16   0.17
      0.79  -1.79  -0.95   1.47  -1.42  -0.96   1.71  -2.33   0.19   1.07  -1.65   1.19  -0.49  -2.27  -0.25
      1.99  -1.70  -0.70  -0.04  -1.55  -1.73   0.40  -2.41  -0.47   1.18  -1.68   0.97   2.33  -2.31   0.46
      0.78  -1.67  -1.36   1.55  -1.39  -1.30   2.38  -2.24   0.11   1.22  -1.72   0.71   1.64  -2.30   0.03
      1.58  -1.47  -1.25  -0.15  -1.45  -2.08   1.06  -2.26  -0.55   1.30  -1.79   0.44   0.70  -2.31  -0.54
      2.72  -1.18  -0.91   0.74  -1.27  -1.85   2.59  -2.02  -0.13   1.30  -1.84   0.14   2.91  -2.15  -0.05
      3.19  -0.83  -0.73   1.01  -1.03  -1.73   1.19  -1.95  -0.81   1.20  -1.85  -0.16   1.82  -2.08  -0.61
      1.03  -0.65  -1.58   1.51  -0.76  -1.44   2.98  -1.63  -0.25   1.05  -1.87  -0.49   0.58  -1.97  -1.28
      1.25  -0.29  -1.35   1.50  -0.54  -1.36   1.10  -1.48  -1.10   0.77  -1.86  -0.82   2.24  -1.65  -0.89
      1.24   0.10  -1.15   1.32  -0.29  -1.19   2.20  -1.14  -0.77   0.53  -1.83  -1.11   1.10  -1.51  -1.46
      0.95   0.48  -0.90   0.76  -0.06  -1.18   3.02  -0.83  -0.53   0.31  -1.75  -1.30   2.20  -1.17  -1.26
      2.58   0.98   0.34  -0.16   0.08  -1.27   1.19  -0.70  -1.38   3.10  -1.47  -0.39   3.39  -0.77  -0.96
      2.22   1.27   0.59   1.67   0.42  -0.15   1.36  -0.45  -1.33   2.80  -1.37  -0.60   1.67  -0.62  -1.78
      1.07   1.48   0.46  -0.04   0.50  -0.65   2.91  -0.01  -0.56   2.57  -1.22  -0.70   2.34  -0.25  -1.58
      2.02   1.63   1.27   0.87   0.69   0.05   2.16   0.19  -0.82   2.53  -1.11  -0.71   2.38   0.11  -1.58
      0.70   1.75   0.95   1.18   0.80   0.50   2.91   0.55  -0.21   2.22  -0.99  -0.85   2.13   0.43  -1.55
      0.95   1.76   1.36   0.87   0.84   0.52   1.65   0.66  -0.60   1.68  -0.90  -1.05   1.87   0.68  -1.54
      0.96   1.68   1.62   0.51   0.84   0.53   1.82   0.94  -0.12   3.30  -0.55  -0.52   2.85   1.09  -0.69
      1.02   1.54   1.74  -0.16   0.79   0.32   1.75   1.15   0.20   1.90  -0.43  -1.07   1.97   1.23  -0.83
      0.90   1.44   1.70  -0.49   0.75   0.18   1.83   1.35   0.56   2.51  -0.07  -0.93   2.48   1.49  -0.13
      0.69   1.35   1.56   0.96   0.70   0.88   1.74   1.51   0.89   2.48   0.25  -1.06   1.83   1.59  -0.12
      0.36   1.22   1.37   0.40   0.63   0.66   1.67   1.56   1.16   1.84   0.53  -1.44   2.11   1.78   0.43
      0.50   1.10   1.34   0.48   0.58   0.72   1.83   1.55   1.51   2.53   1.02  -1.25   1.60   1.83   0.41
     -0.97   1.06   0.60   0.40   0.54   0.73   1.12   1.45   1.31   2.16   1.50  -1.31   2.23   2.04   1.19
     -0.65   0.92   0.64   0.43   0.52   0.80   1.17   1.37   1.48   2.62   2.10  -0.64   1.79   2.04   1.19
     -0.31   0.86   0.66  -1.19   0.48   0.06   0.64   1.26   1.22   2.55   2.59   0.23   1.38   2.03   1.21
     -1.41   0.77   0.05  -0.93   0.47   0.22   1.13   1.19   1.42   2.18   2.98   1.09   1.77   2.04   1.70
     -0.80   0.72   0.17  -0.56   0.47   0.49   0.69   1.13   1.16   1.51   3.13   1.57   1.23   1.97   1.59
      0.03   0.71   0.34  -0.12   0.45   0.80   0.37   1.04   0.95   1.05   3.07   1.84   0.54   1.83   1.36
     -0.70   0.69  -0.03  -1.12   0.43   0.41   0.02   0.97   0.73   0.55   3.01   1.93   0.97   1.67   1.71
     -1.67   0.65  -0.55  -0.89   0.34   0.61   0.54   0.90   0.83   0.25   2.68   2.16   0.43   1.48   1.44
     -0.68   0.69  -0.15  -0.10   0.33   1.04   0.26   0.88   0.63   0.04   2.10   2.29   0.72   1.28   1.57
     -1.15   0.63  -0.39  -0.84   0.24   0.67  -0.08   0.81   0.36  -0.31   1.63   2.06   0.95   1.09   1.61
     -1.61   0.54  -0.58  -1.21   0.19   0.44   0.34   0.80   0.44  -0.57   1.22   1.78   0.43   0.95   1.28
     -0.46   0.46  -0.00  -0.22   0.12   0.89   0.16   0.76   0.31  -0.48   0.81   1.63   0.69   0.78   1.32
     -0.68   0.34  -0.11  -0.27   0.04   0.70  -0.16   0.73   0.13  -0.79   0.56   1.30  -0.13   0.65   0.86
     -0.89   0.22  -0.24  -0.53  -0.04   0.46   0.22   0.65   0.28  -0.23   0.18   1.34   0.42   0.49   1.07
     -0.97   0.07  -0.24  -0.11  -0.11   0.42   0.02   0.56   0.24  -0.28  -0.01   1.15  -0.06   0.36   0.82
     -1.09  -0.06  -0.31  -1.31  -0.26  -0.38  -0.19   0.50   0.20  -0.25  -0.15   1.03   0.20   0.25   0.90
     -1.07  -0.16  -0.29  -0.74  -0.37  -0.29   0.05   0.36   0.36  -0.23  -0.30   0.90   0.02   0.10   0.82
     -1.01  -0.28  -0.33  -0.28  -0.45  -0.28  -0.16   0.25   0.30  -0.39  -0.41   0.71  -0.17  -0.06   0.75
     -0.90  -0.43  -0.28  -1.33  -0.62  -0.80  -0.26   0.17   0.31  -0.41  -0.52   0.58   0.09  -0.26   0.79
     -0.84  -0.52  -0.21  -0.91  -0.69  -0.78  -0.48   0.07   0.25  -0.24  -0.60   0.56  -0.34  -0.39   0.56
     -0.63  -0.58  -0.11  -0.21  -0.73  -0.60  -0.32  -0.06   0.33   0.04  -0.68   0.60   0.21  -0.50   0.73
     -0.33  -0.57   0.09   0.39  -0.71  -0.37  -0.50  -0.18   0.23  -0.52  -0.69   0.40  -0.18  -0.61   0.48
     -1.27  -0.62  -0.12  -1.10  -0.78  -0.96  -0.58  -0.26   0.13  -0.16  -0.77   0.55   0.28  -0.75   0.69
     -0.84  -0.51   0.16  -0.50  -0.71  -0.62  -0.59  -0.37   0.09  -0.61  -0.78   0.42   0.03  -0.81   0.61
      0.08  -0.38   0.51   0.08  -0.64  -0.25  -0.35  -0.52   0.13  -0.08  -0.89   0.61  -0.11  -0.87   0.57
     -0.49  -0.38   0.34  -0.93  -0.61  -0.55  -0.32  -0.67   0.07  -0.48  -0.91   0.43  -0.28  -0.93   0.48
     -0.82  -0.40   0.17  -0.19  -0.57  -0.07  -0.05  -0.77   0.08   0.10  -0.95   0.66  -0.25  -1.00   0.51
      0.12  -0.22   0.40  -1.07  -0.47  -0.38   0.04  -0.88   0.00   0.32  -0.99   0.79  -0.28  -1.06   0.43
     -0.33  -0.28  -0.04  -0.78  -0.43  -0.23   0.09  -0.96  -0.12   0.21  -1.05   0.71   0.06  -1.17   0.44
      0.31  -0.35   0.08  -0.43  -0.36  -0.11   0.19  -0.99  -0.20   0.18  -1.08   0.64   0.26  -1.26   0.34
     -0.40  -0.52  -0.47  -0.17  -0.30  -0.09   0.10  -0.94  -0.37   0.16  -1.12   0.60  -0.57  -1.32  -0.05
     -0.11  -0.51  -0.55  -0.31  -0.21  -0.21   0.19  -0.87  -0.47  -0.14  -1.18   0.40  -0.25  -1.40  -0.06
      0.05  -0.43  -0.66  -0.22  -0.09  -0.19   0.03  -0.80  -0.63  -0.12  -1.29   0.28   0.05  -1.41  -0.10
     -0.03  -0.39  -0.89   0.10   0.03  -0.10  -0.07  -0.72  -0.75  -0.16  -1.38   0.07   0.38  -1.41  -0.17
     -0.02  -0.24  -1.04  -0.65   0.05  -0.50  -0.11  -0.64  -0.82  -0.08  -1.44  -0.06   0.36  -1.39  -0.32
      0.12  -0.16  -1.00   0.19   0.21  -0.14  -0.04  -0.60  -0.83  -0.08  -1.48  -0.27   0.34  -1.34  -0.46
      0.23  -0.05  -1.03  -0.14   0.26  -0.40  -0.03  -0.58  -0.79   0.21  -1.57  -0.44  -0.09  -1.23  -0.73
      0.47   0.06  -0.97  -0.03   0.28  -0.42   0.26  -0.50  -0.73   0.24  -1.58  -0.68  -0.04  -1.03  -0.92
      0.58   0.18  -0.93  -0.43   0.29  -0.69   0.15  -0.46  -0.77   0.24  -1.55  -1.02   0.13  -0.78  -0.95
      0.76   0.25  -0.82   0.46   0.42  -0.28  -0.35  -0.38  -0.99  -0.13  -1.38  -1.48   0.20  -0.56  -1.13
      0.95   0.22  -0.67  -0.00   0.36  -0.56   0.40  -0.20  -0.71   0.56  -1.09  -1.43   0.14  -0.36  -1.36
     -0.32   0.15  -1.24  -0.48   0.27  -0.89  -0.21  -0.06  -1.05   0.23  -0.82  -1.68  -0.16  -0.19  -1.68
      1.13   0.24  -0.53   0.36   0.27  -0.59   0.23   0.15  -0.81  -0.15  -0.57  -2.05   0.67   0.11  -1.48
      1.20   0.19  -0.54  -0.49   0.17  -1.03  -0.44   0.21  -1.09  -0.17  -0.32  -2.20   0.60   0.33  -1.53
      0.21   0.01  -1.17   0.42   0.22  -0.70   0.26   0.39  -0.78  -0.52  -0.14  -2.31   0.40   0.58  -1.72
      0.38  -0.11  -1.27   1.39   0.20  -0.34   0.10   0.42  -0.87   0.21   0.26  -1.69   0.20   0.84  -1.71
      0.28  -0.16  -1.51   0.20  -0.00  -0.87  -0.03   0.47  -0.92   0.27   0.61  -1.53   0.39   1.09  -1.50
      0.58  -0.11  -1.48   1.04  -0.06  -0.58   0.24   0.45  -0.80  -0.76   0.80  -1.79  -0.21   1.16  -1.59
      0.56  -0.03  -1.55   0.17  -0.24  -0.84   0.63   0.46  -0.61  -0.64   1.05  -1.33  -0.50   1.21  -1.46
      0.86   0.02  -1.26   1.14  -0.31  -0.37  -0.20   0.42  -0.94  -0.62   1.24  -0.78  -0.62   1.18  -1.17
      0.90   0.01  -1.14   0.02  -0.48  -0.63   0.47   0.43  -0.56  -0.60   1.22  -0.29  -0.68   1.11  -0.91
      1.28  -0.09  -0.88  -0.81  -0.65  -0.71  -0.43   0.35  -0.90  -0.02   1.01   0.43  -0.48   1.00  -0.61
     -0.46  -0.30  -1.39   0.36  -0.65   0.05   0.43   0.35  -0.40  -1.00   0.86   0.39  -0.26   0.87  -0.28
     -0.12  -0.42  -0.87  -0.51  -0.66   0.05  -0.48   0.29  -0.63  -1.80   0.64   0.35  -1.35   0.77  -0.59
      0.13  -0.52  -0.35   0.71  -0.55   0.90  -1.35   0.23  -0.79  -0.51   0.20   1.16  -0.87   0.59  -0.18
      0.68  -0.72   0.29  -0.08  -0.46   0.95  -0.37   0.22  -0.19  -0.94  -0.01   1.14  -0.46   0.42   0.15
     -0.97  -0.90  -0.09  -1.44  -0.33   0.86  -1.53   0.16  -0.42  -1.34  -0.23   1.11  -0.29   0.25   0.42
     -0.42  -1.02   0.55  -0.47  -0.12   1.63  -0.79   0.09   0.13  -1.36  -0.47   1.22  -0.06   0.06   0.68
     -0.38  -1.12   0.91   0.22  -0.00   2.16   0.12  -0.03   0.78  -1.34  -0.67   1.26  -1.46  -0.02   0.33
     -0.11  -1.20   1.39   0.54   0.15   2.53  -1.24  -0.11   0.38  -1.14  -0.89   1.36  -1.29  -0.19   0.64
     -0.16  -1.34   1.67   0.38   0.26   2.68  -0.93  -0.24   0.66  -0.67  -1.10   1.46  -0.91  -0.35   1.03
     -0.36  -1.48   1.94  -0.33   0.20   2.61  -0.48  -0.34   0.95   0.11  -1.29   1.66  -0.28  -0.51   1.46
     -0.23  -1.60   2.24  -1.03   0.13   2.51  -0.05  -0.48   1.14  -1.10  -1.32   1.15  -1.32  -0.59   1.16
     -0.22  -1.60   2.49  -1.79   0.03   2.12   0.55  -0.58   1.39   0.10  -1.49   1.44  -0.24  -0.79   1.66
     -0.18  -1.60   2.53   1.20  -0.20   2.91  -0.76  -0.65   0.76  -0.92  -1.45   0.97  -1.01  -0.89   1.29
      0.27  -1.57   2.53   1.28  -0.21   2.51   0.56  -0.73   1.18   0.69  -1.65   1.26   0.33  -1.13   1.60
      0.45  -1.45   2.32   1.38  -0.30   2.00  -0.55  -0.75   0.51   0.33  -1.64   0.98  -0.32  -1.17   1.10
      0.53  -1.29   1.94   0.94  -0.40   1.25   1.03  -0.77   0.88  -0.11  -1.63   0.69  -1.30  -1.23   0.43
      0.38  -1.11   1.27   0.84  -0.49   0.60   0.23  -0.80   0.24  -0.41  -1.59   0.47  -0.01  -1.40   0.62
      0.20  -1.04   0.61   0.14  -0.73  -0.19  -0.94  -0.85  -0.55  -0.73  -1.54   0.18   1.19  -1.54   0.80
      0.12  -0.97  -0.04  -0.36  -0.90  -0.93   0.61  -0.83  -0.17   1.17  -1.61   0.64   0.02  -1.53   0.04
      0.04  -0.88  -0.47   2.25  -0.88  -0.09  -0.77  -0.87  -0.99   0.73  -1.53   0.22   1.27  -1.57   0.34
      0.42  -0.92  -0.75   2.04  -0.98  -0.48   0.20  -0.82  -0.84  -0.01  -1.52  -0.29   0.08  -1.51  -0.44
      0.29  -1.00  -1.01   1.21  -1.10  -0.98   1.01  -0.70  -0.66   1.95  -1.55   0.17   1.30  -1.48  -0.05
      0.36  -1.09  -1.19   0.50  -1.32  -1.31   2.08  -0.53  -0.28   0.63  -1.51  -0.54   0.10  -1.39  -0.70
      0.29  -1.30  -1.30  -0.45  -1.56  -1.46   0.23  -0.43  -1.07  -0.69  -1.49  -1.27   1.43  -1.27  -0.16
      0.21  -1.56  -1.32  -1.16  -1.80  -1.46   0.63  -0.19  -0.79   1.13  -1.47  -0.84  -0.03  -1.11  -0.78
     -0.10  -1.66  -1.35  -2.06  -1.92  -1.52   0.50   0.08  -0.68  -0.48  -1.45  -1.54   1.53  -0.88  -0.09
     -0.20  -1.74  -1.24   1.40  -1.93   0.13   0.72   0.37  -0.38   1.25  -1.40  -1.19   0.03  -0.67  -0.68
     -0.53  -1.67  -1.19   0.60  -1.95   0.08   0.82   0.67  -0.13  -0.28  -1.30  -1.85   1.38  -0.44  -0.09
     -0.82  -1.57  -1.12  -0.23  -1.90   0.01   0.63   0.94   0.08   1.32  -1.14  -1.44  -0.19  -0.23  -0.66
     -1.27  -1.28  -1.15  -0.51  -1.72   0.21   0.32   1.18   0.19  -0.24  -1.01  -2.01   0.68  -0.00  -0.25
     -1.70  -0.98  -1.15  -0.96  -1.47   0.37  -0.22   1.44   0.21   0.59  -0.75  -1.84   0.94   0.23  -0.05
      0.71  -0.66   0.10  -1.55  -1.19   0.51   0.49   1.72   0.94   0.73  -0.47  -1.92   0.59   0.48  -0.07
     -0.40  -0.22  -0.05  -2.64  -0.84   0.32  -1.18   1.91   0.53   0.35  -0.18  -2.12   0.10   0.68  -0.14
     -1.48   0.13  -0.22  -0.13  -0.49   1.70  -1.14   1.97   1.06   1.19   0.20  -1.86  -0.65   0.88  -0.27
     -2.34   0.45  -0.41  -0.96  -0.19   1.49  -0.42   1.67   2.11   0.10   0.49  -2.29  -0.52   1.00   0.03
     -0.45   0.53   0.79  -1.44   0.03   1.48  -1.13   1.33   2.25   0.05   0.86  -2.06   0.26   1.07   0.56
     -1.49   0.58   0.44  -1.88   0.15   1.36  -0.42   0.70   2.63   1.11   1.16  -1.01  -0.58   1.04   0.19
     -2.19   0.57   0.22  -2.02   0.27   1.34  -0.78   0.18   2.19   0.69   1.27  -0.72   0.20   0.92   0.44
      0.09   0.52   1.23  -2.04   0.39   1.20  -0.63  -0.32   1.66   0.23   1.33  -0.55  -0.39   0.74   0.25
     -0.10   0.53   1.05  -1.47   0.43   1.14   0.03  -0.70   1.30   1.07   1.43   0.33  -0.64   0.52   0.16
     -0.15   0.61   0.81  -0.35   0.56   1.26  -0.60  -0.94   0.53   0.62   1.45   0.34  -0.42   0.22   0.09
     -2.30   0.70  -0.48  -1.74   0.66   0.27  -0.79  -1.11  -0.11   0.12   1.46   0.08   0.24  -0.09   0.11
     -1.83   0.78  -0.69  -0.19   0.74   0.58  -0.93  -1.24  -0.82  -0.32   1.49  -0.19  -0.83  -0.26  -0.71
     -1.35   0.87  -0.82  -1.43   0.75  -0.37  -1.34  -1.28  -1.69   0.02   1.58   0.08  -0.55  -0.24  -1.19
     -1.07   0.97  -1.04   0.23   0.80   0.02   0.39  -1.05  -1.87  -0.89   1.63  -0.15  -0.15  -0.07  -1.61
     -0.91   1.08  -1.32  -1.17   0.70  -0.86  -0.25  -0.87  -2.62  -0.94   1.52   0.15  -0.10   0.24  -1.98
     -0.88   1.12  -1.61  -0.44   0.68  -0.71  -0.96  -0.68  -3.32  -0.81   1.25   0.52  -0.24   0.60  -2.19
     -1.02   1.14  -1.77   0.44   0.65  -0.39  -0.14  -0.22  -3.36  -0.69   0.88   0.74  -0.60   0.91  -2.18
     -1.33   1.10  -1.91  -0.91   0.54  -0.99   0.17   0.30  -3.29  -1.47   0.62   0.32  -0.25   1.13  -1.60
     -1.52   1.06  -1.92  -0.02   0.64  -0.56   0.05   0.78  -3.14  -0.75   0.29   0.21   0.17   1.22  -0.99
     -0.05   1.16  -1.01   0.85   0.70  -0.18   0.54   1.36  -2.20  -0.68   0.19  -0.06  -0.89   1.19  -1.12
     -0.09   1.11  -0.85  -0.20   0.65  -0.54   0.51   1.70  -1.40  -1.75   0.20  -0.61  -0.52   1.08  -0.46
     -0.51   1.07  -0.86   0.62   0.73  -0.13   0.35   1.84  -0.66  -0.37   0.16  -0.17  -1.45   0.90  -0.45
     -1.07   1.04  -0.98  -0.43   0.64  -0.60  -0.71   1.68  -0.60  -0.56   0.06  -0.27  -0.44   0.54   0.28
      0.19   0.97   0.07  -0.11   0.66  -0.41  -0.35   1.38   0.21  -0.62  -0.10  -0.26  -0.11   0.21   0.48
     -0.38   0.89   0.01  -0.27   0.68  -0.44  -0.55   1.00   0.39  -0.02  -0.32  -0.12  -0.80  -0.02   0.17
     -1.10   0.85  -0.13  -0.21   0.67  -0.36  -0.27   0.66   0.56  -1.54  -0.30  -0.76  -1.09  -0.21  -0.05
     -1.38   0.71  -0.20  -0.19   0.58  -0.24  -0.88   0.34   0.21  -1.33  -0.50  -0.84  -0.94  -0.35  -0.22
      0.13   0.53   0.65   1.04   0.67   0.45  -1.15   0.12  -0.03  -0.04  -0.76  -0.49  -0.69  -0.45  -0.34
     -0.15   0.46   0.54   0.56   0.59   0.30  -0.02  -0.06   0.19  -0.86  -0.89  -1.00  -0.73  -0.57  -0.66
     -0.70   0.39   0.33   0.28   0.52   0.29  -0.27  -0.14  -0.16  -1.52  -0.93  -1.44  -0.75  -0.70  -0.95
     -0.59   0.30   0.25  -0.27   0.40   0.14  -0.05  -0.16  -0.38   0.09  -0.84  -1.08  -0.89  -0.80  -1.29
     -0.90   0.24   0.06   0.76   0.49   0.65  -0.23  -0.16  -0.71  -0.24  -0.70  -1.42  -1.33  -0.87  -1.74
      0.72   0.15   0.82   0.29   0.38   0.52  -0.08  -0.11  -0.85  -0.22  -0.58  -1.52   0.09  -0.77  -1.38
      0.74   0.11   0.64  -0.33   0.24   0.30   0.14  -0.04  -0.96  -0.19  -0.45  -1.63   0.01  -0.61  -1.49
     -0.84  -0.02  -0.23   0.94   0.26   0.94   0.29   0.01  -1.02  -0.47  -0.34  -1.64   0.06  -0.46  -1.54
     -0.43  -0.09  -0.18   0.82   0.21   0.90   0.58   0.08  -0.98  -0.31  -0.22  -1.51   0.02  -0.29  -1.58
      0.01  -0.13  -0.01   0.81   0.17   0.88  -0.64   0.01  -1.51  -0.07  -0.14  -1.36   0.21  -0.14  -1.49
      0.69  -0.11   0.19   1.17   0.19   1.02  -0.06   0.13  -1.35   0.63  -0.06  -1.10   0.21  -0.01  -1.47
     -0.57  -0.17  -0.46  -0.21   0.12   0.35   0.57   0.26  -1.11  -0.94  -0.01  -1.71   0.34   0.12  -1.31
     -0.26  -0.16  -0.32   0.08   0.16   0.32  -0.31   0.28  -1.47  -0.71   0.08  -1.55   0.65   0.28  -1.12
      0.17  -0.07  -0.15   0.61   0.20   0.33   0.42   0.42  -1.12   0.44   0.30  -0.82   0.83   0.38  -0.89
      0.39   0.07  -0.02   1.28   0.24   0.43  -0.41   0.44  -1.45  -0.20   0.42  -0.79  -0.36   0.42  -1.38
      0.37   0.22  -0.04   1.51   0.27   0.35   0.63   0.62  -0.96  -0.43   0.53  -0.77   0.07   0.59  -1.01
      0.19   0.32  -0.13   1.22   0.24   0.03   0.31   0.64  -1.10   0.02   0.61  -0.59   0.49   0.70  -0.65
      0.40   0.49  -0.09   0.02   0.09  -0.76   0.26   0.67  -1.11   0.10   0.66  -0.52   0.91   0.79  -0.19
      0.72   0.61  -0.07   0.22   0.04  -0.87   0.18   0.72  -1.16  -0.15   0.74  -0.55  -0.20   0.88  -0.58
      0.72   0.68  -0.19   0.07  -0.04  -1.07   0.02   0.74  -1.25  -0.22   0.82  -0.63  -1.00   0.91  -0.79
      0.84   0.71  -0.28   1.51  -0.01  -0.62  -0.27   0.81  -1.34  -0.23   0.83  -0.59   0.37   1.00   0.13
      1.30   0.72  -0.34   1.38  -0.10  -0.76   0.97   0.94  -0.74  -0.46   0.86  -0.62   0.17   1.06   0.11
      1.26   0.70  -0.42   1.04  -0.26  -1.02   0.29   0.99  -1.00  -0.71   0.81  -0.53  -0.35   1.08   0.00
      1.27   0.69  -0.58   0.59  -0.38  -1.29  -0.50   1.02  -1.35  -0.04   0.76  -0.13  -0.66   1.10  -0.15
      1.33   0.70  -0.71   1.70  -0.38  -0.94   0.12   1.12  -0.94  -1.35   0.73  -0.59  -0.96   1.09  -0.30
      1.24   0.59  -0.82   1.09  -0.58  -1.27   0.68   1.28  -0.54   0.10   0.63   0.24   0.49   1.11   0.57
      1.06   0.53  -1.05   2.23  -0.57  -0.83  -0.51   1.19  -1.08  -0.36   0.61   0.10  -0.00   1.08   0.28
      0.49   0.42  -1.38   0.94  -0.78  -1.43  -0.42   1.22  -0.88  -1.15   0.64  -0.12  -0.79   1.08  -0.03
      2.20   0.52  -0.63   1.84  -0.78  -1.11  -0.16   1.22  -0.72  -1.69   0.69  -0.29   0.39   1.04   0.61
      1.68   0.36  -0.96   0.52  -1.05  -1.70  -0.18   1.15  -0.61   0.21   0.54   0.62  -0.84   1.02   0.06
      0.61   0.14  -1.50   0.76  -1.12  -1.65  -0.19   1.09  -0.58  -0.17   0.57   0.46  -0.02   0.95   0.47
      1.93   0.16  -0.89   1.34  -1.13  -1.45  -0.25   0.99  -0.54  -0.85   0.58   0.19   0.56   0.87   0.74
      1.14  -0.16  -1.26   1.66  -1.21  -1.33  -0.32   0.78  -0.58  -1.51   0.63  -0.09  -1.30   0.75  -0.19
      0.43  -0.45  -1.62   2.34  -1.28  -1.05  -0.39   0.62  -0.58   0.47   0.51   0.74  -0.81   0.62  -0.08
      1.68  -0.50  -1.02   0.76  -1.53  -1.65  -0.41   0.38  -0.62  -0.33   0.51   0.36  -0.51   0.44  -0.08
      0.45  -0.84  -1.54   0.85  -1.61  -1.58  -0.68   0.18  -0.75  -1.23   0.47  -0.08  -0.18   0.26  -0.11
