%    T1-P1  T1-P2  T1-P3  T2-P1  T2-P2  T2-P3  T3-P1  T3-P2  T3-P3  T4-P1  T4-P2  T4-P3  T5-P1  T5-P2  T5-P3
     -0.62   0.85  -0.03  -0.50   0.61  -0.05   0.01   1.34   0.25  -0.24   1.07   0.44   0.01   1.36   0.40
     -0.69   0.97  -0.04  -0.66   0.70  -0.04  -0.02   1.36   0.21  -0.33   1.13   0.45  -0.03   1.38   0.38
     -0.39   1.06  -0.04  -0.37   0.79  -0.04  -0.05   1.45   0.16  -0.20   1.16   0.44  -0.04   1.46   0.34
     -0.31   1.15  -0.05  -0.40   0.86  -0.04   0.05   1.43   0.13  -0.20   1.25   0.43   0.02   1.56   0.32
     -0.49   1.23  -0.04  -0.54   1.00  -0.02  -0.00   1.45   0.09  -0.22   1.28   0.41  -0.12   1.59   0.28
     -0.56   1.26  -0.06  -0.56   1.04  -0.03   0.02   1.52   0.05  -0.23   1.33   0.40  -0.07   1.63   0.25
     -0.41   1.29  -0.07  -0.47   1.16  -0.03   0.01   1.53   0.01  -0.28   1.43   0.38  -0.09   1.71   0.21
     -0.30   1.42  -0.08  -0.42   1.09  -0.03  -0.07   1.58  -0.03  -0.17   1.48   0.35  -0.12   1.72   0.17
     -0.47   1.32  -0.09  -0.53   1.16  -0.03  -0.07   1.58  -0.07  -0.20   1.56   0.32  -0.18   1.75   0.13
     -0.35   1.30  -0.09  -0.42   1.06  -0.03  -0.07   1.57  -0.12  -0.12   1.62   0.29  -0.13   1.78   0.08
     -0.38   1.19  -0.11  -0.37   1.07  -0.05  -0.01   1.54  -0.17  -0.13   1.68   0.25  -0.07   1.80   0.02
     -0.29   1.13  -0.13  -0.24   0.90  -0.07  -0.14   1.51  -0.20  -0.12   1.75   0.22  -0.04   1.77  -0.03
     -0.53   1.00  -0.14  -0.51   0.91  -0.08  -0.12   1.50  -0.25  -0.08   1.80   0.18  -0.07   1.78  -0.09
     -0.40   1.09  -0.17  -0.46   0.91  -0.11  -0.18   1.43  -0.30   0.06   1.80   0.13  -0.08   1.69  -0.16
     -0.45   0.97  -0.19  -0.53   0.84  -0.13  -0.14   1.28  -0.35   0.14   1.85   0.06  -0.03   1.56  -0.23
     -0.74   0.91  -0.22  -0.71   0.70  -0.16  -0.25   1.23  -0.39   0.18   1.69  -0.01  -0.22   1.52  -0.28
     -0.78   0.78  -0.23  -0.73   0.63  -0.18  -0.30   1.05  -0.43   0.13   1.71  -0.09  -0.20   1.38  -0.34
     -0.90   0.70  -0.26  -0.82   0.61  -0.21  -0.28   0.86  -0.46   0.46   1.58  -0.18  -0.15   1.18  -0.39
     -0.88   0.51  -0.29  -0.82   0.47  -0.23  -0.32   0.60  -0.50   0.43   1.58  -0.29  -0.22   1.01  -0.44
     -0.87   0.44  -0.30  -0.85   0.43  -0.25  -0.48   0.48  -0.53   0.48   1.45  -0.39  -0.28   0.98  -0.49
     -0.94   0.35  -0.33  -0.88   0.27  -0.28  -0.52   0.07  -0.57   0.58   1.46  -0.50  -0.21   0.72  -0.54
     -1.11   0.18  -0.36  -1.00   0.22  -0.31  -0.57  -0.14  -0.59   0.65   1.30  -0.60  -0.24   0.39  -0.59
     -0.75   0.17  -0.39  -0.70   0.15  -0.34  -0.59  -0.26  -0.62   0.60   1.32  -0.70  -0.19   0.12  -0.64
     -0.90   0.04  -0.44  -0.78   0.02  -0.37  -0.54  -0.43  -0.65   0.39   1.10  -0.83  -0.30  -0.12  -0.69
     -1.09  -0.10  -0.48  -0.97  -0.06  -0.41  -0.56  -0.60  -0.67   0.44   1.14  -0.94  -0.37  -0.31  -0.74
     -0.94  -0.21  -0.54  -0.82  -0.11  -0.45  -0.55  -0.67  -0.69   0.50   0.87  -1.04  -0.34  -0.45  -0.79
     -0.82  -0.28  -0.59  -0.68  -0.09  -0.48  -0.66  -0.77  -0.71   0.42   0.90  -1.13  -0.52  -0.69  -0.83
     -1.27  -0.34  -0.63  -1.05  -0.16  -0.51  -0.71  -0.85  -0.73   0.41   0.62  -1.23  -0.59  -0.77  -0.88
     -1.23  -0.36  -0.67  -1.02  -0.20  -0.53  -0.80  -0.92  -0.74   0.44   0.31  -1.31  -0.57  -0.84  -0.91
     -1.17  -0.42  -0.70  -0.98  -0.21  -0.55  -0.84  -0.97  -0.75   0.45  -0.28  -1.38  -0.57  -0.90  -0.95
     -1.29  -0.47  -0.73  -1.05  -0.29  -0.57  -0.91  -1.05  -0.77   0.55  -0.48  -1.44  -0.62  -1.02  -0.98
     -1.09  -0.45  -0.75  -0.97  -0.23  -0.58  -0.95  -1.10  -0.78   0.46  -0.78  -1.50  -0.59  -1.07  -1.01
     -1.11  -0.54  -0.77  -1.01  -0.28  -0.59  -1.02  -1.14  -0.79   0.41  -1.02  -1.53  -0.64  -1.11  -1.03
     -1.17  -0.58  -0.77  -1.03  -0.35  -0.60  -1.04  -1.17  -0.80   0.25  -1.17  -1.56  -0.53  -1.16  -1.05
     -1.11  -0.60  -0.78  -0.93  -0.36  -0.61  -0.97  -1.18  -0.80   0.12  -1.30  -1.58  -0.43  -1.20  -1.06
     -1.29  -0.60  -0.78  -1.01  -0.42  -0.61  -0.97  -1.21  -0.81  -0.08  -1.48  -1.60  -0.33  -1.29  -1.07
     -1.03  -0.73  -0.78  -0.80  -0.46  -0.61  -0.85  -1.22  -0.82  -0.04  -1.60  -1.61  -0.43  -1.35  -1.07
     -0.98  -0.73  -0.78  -0.82  -0.53  -0.61  -0.86  -1.25  -0.82  -0.07  -1.76  -1.61  -0.35  -1.38  -1.08
     -0.96  -0.73  -0.77  -0.76  -0.49  -0.61  -0.83  -1.24  -0.83  -0.46  -1.77  -1.61  -0.52  -1.40  -1.08
     -0.89  -0.84  -0.77  -0.73  -0.58  -0.61  -0.90  -1.28  -0.83  -0.77  -1.78  -1.61  -0.74  -1.43  -1.08
     -0.79  -0.84  -0.75  -0.64  -0.55  -0.60  -0.94  -1.29  -0.83  -0.83  -1.73  -1.61  -0.86  -1.44  -1.08
     -0.65  -0.78  -0.75  -0.59  -0.54  -0.60  -1.06  -1.34  -0.84  -0.87  -1.72  -1.60  -0.98  -1.44  -1.08
     -0.50  -0.82  -0.73  -0.49  -0.60  -0.59  -1.00  -1.34  -0.84  -0.89  -1.69  -1.57  -1.01  -1.44  -1.07
     -0.44  -0.81  -0.73  -0.39  -0.59  -0.59  -1.10  -1.39  -0.83  -1.01  -1.68  -1.56  -1.15  -1.44  -1.07
     -0.31  -0.73  -0.70  -0.33  -0.60  -0.58  -1.26  -1.39  -0.83  -1.22  -1.68  -1.54  -1.40  -1.44  -1.06
     -0.41  -0.71  -0.68  -0.40  -0.57  -0.57  -1.36  -1.44  -0.83  -1.37  -1.67  -1.51  -1.65  -1.47  -1.05
     -0.21  -0.67  -0.68  -0.29  -0.52  -0.57  -1.45  -1.44  -0.83  -1.35  -1.66  -1.49  -1.76  -1.48  -1.04
     -0.10  -0.53  -0.64  -0.17  -0.35  -0.55  -1.34  -1.45  -0.83  -1.18  -1.64  -1.47  -1.73  -1.49  -1.03
      0.26  -0.43  -0.61   0.11  -0.25  -0.54  -1.26  -1.49  -0.82  -1.07  -1.66  -1.44  -1.66  -1.53  -1.01
      0.41  -0.35  -0.59   0.17  -0.11  -0.53  -1.15  -1.52  -0.82  -1.01  -1.65  -1.42  -1.41  -1.54  -1.00
      0.48  -0.33  -0.55   0.30  -0.01  -0.51  -1.12  -1.46  -0.81  -0.91  -1.65  -1.39  -1.37  -1.57  -0.99
      0.52  -0.26  -0.49   0.39  -0.02  -0.48  -1.09  -1.46  -0.80  -0.85  -1.65  -1.37  -1.25  -1.55  -0.97
      0.66  -0.21  -0.44   0.49   0.03  -0.46  -1.02  -1.43  -0.79  -0.85  -1.64  -1.35  -1.18  -1.56  -0.96
      0.81  -0.36  -0.40   0.63   0.04  -0.43  -1.17  -1.36  -0.79  -0.78  -1.63  -1.33  -1.20  -1.55  -0.94
      0.55  -0.43  -0.35   0.65  -0.01  -0.41  -1.22  -1.32  -0.78  -0.65  -1.63  -1.31  -1.25  -1.53  -0.93
      0.53  -0.45  -0.27   0.66  -0.05  -0.37  -1.16  -1.23  -0.77  -0.52  -1.61  -1.30  -1.09  -1.47  -0.92
      0.67  -0.65  -0.21   0.75  -0.06  -0.33  -1.25  -1.19  -0.76  -0.37  -1.59  -1.30  -1.09  -1.38  -0.91
      0.81  -1.01  -0.15   1.01  -0.09  -0.29  -0.95  -1.13  -0.75  -0.16  -1.59  -1.30  -0.84  -1.28  -0.90
      1.20  -1.19  -0.08   1.15  -0.24  -0.25  -0.85  -1.09  -0.75  -0.13  -1.55  -1.31  -0.65  -1.21  -0.90
      1.31  -1.28  -0.04   1.19  -0.40  -0.23  -0.80  -1.12  -0.74  -0.15  -1.48  -1.31  -0.58  -1.14  -0.89
      2.07  -1.28   0.02   1.47  -0.55  -0.19  -0.60  -1.13  -0.74  -0.05  -1.40  -1.31  -0.39  -1.08  -0.89
      1.87  -1.23   0.06   1.40  -0.62  -0.17  -0.48  -1.16  -0.73   0.01  -1.33  -1.31  -0.35  -1.07  -0.89
      1.80  -1.24   0.09   1.20  -0.75  -0.15  -0.60  -1.16  -0.73   0.06  -1.28  -1.31  -0.23  -1.09  -0.89
      1.72  -1.19   0.13   0.93  -0.80  -0.12  -0.55  -1.14  -0.73   0.15  -1.26  -1.31  -0.20  -1.11  -0.89
      1.50  -1.12   0.14   0.68  -0.79  -0.11  -0.54  -1.16  -0.73   0.18  -1.27  -1.30  -0.21  -1.15  -0.89
      1.45  -1.04   0.17   0.50  -0.78  -0.08  -0.65  -1.15  -0.74   0.04  -1.30  -1.29  -0.35  -1.15  -0.90
      1.36  -0.96   0.18   0.31  -0.77  -0.07  -0.47  -1.15  -0.74   0.04  -1.33  -1.28  -0.21  -1.18  -0.90
      1.42  -0.87   0.21   0.31  -0.70  -0.03  -0.52  -1.14  -0.75  -0.19  -1.32  -1.29  -0.44  -1.17  -0.92
      1.38  -0.86   0.22   0.39  -0.70  -0.01  -0.53  -1.12  -0.75  -0.20  -1.36  -1.31  -0.45  -1.21  -0.93
      1.23  -0.86   0.22   0.46  -0.62   0.01  -0.63  -1.07  -0.76  -0.30  -1.36  -1.33  -0.39  -1.17  -0.95
      1.07  -0.78   0.24   0.43  -0.54   0.04  -0.99  -1.05  -0.76  -0.49  -1.33  -1.36  -0.65  -1.14  -0.95
      0.87  -0.77   0.24   0.56  -0.52   0.07  -1.21  -1.04  -0.77  -0.49  -1.29  -1.39  -0.78  -1.12  -0.96
      0.68  -0.69   0.27   0.49  -0.44   0.11  -1.51  -1.03  -0.77  -0.58  -1.25  -1.42  -1.08  -1.08  -0.97
      0.90  -0.68   0.29   0.80  -0.41   0.16  -1.74  -0.97  -0.77  -0.76  -1.23  -1.46  -1.31  -1.07  -0.98
      1.17  -0.67   0.31   1.11  -0.40   0.20  -1.61  -0.94  -0.77  -0.97  -1.22  -1.49  -1.48  -1.05  -0.98
      1.44  -0.57   0.36   1.32  -0.29   0.27  -1.41  -0.86  -0.78  -1.29  -1.20  -1.52  -1.34  -1.01  -0.99
      1.67  -0.53   0.40   1.57  -0.24   0.33  -1.34  -0.74  -0.77  -1.30  -1.17  -1.55  -1.21  -0.89  -1.00
      1.63  -0.42   0.43   1.57  -0.12   0.39  -1.20  -0.69  -0.77  -1.08  -1.04  -1.58  -1.12  -0.86  -1.00
      1.68  -0.39   0.46   1.59  -0.10   0.44  -1.32  -0.66  -0.77  -0.97  -0.99  -1.62  -1.18  -0.83  -1.01
      1.78  -0.29   0.52   1.52  -0.06   0.52  -1.33  -0.61  -0.76  -0.93  -0.89  -1.64  -1.07  -0.81  -1.01
      1.18  -0.25   0.56   1.16   0.06   0.59  -1.44  -0.57  -0.76  -1.06  -0.84  -1.67  -1.25  -0.74  -1.02
      1.12  -0.21   0.60   1.32   0.08   0.65  -1.61  -0.53  -0.75  -1.09  -0.74  -1.70  -1.49  -0.70  -1.02
      0.96  -0.15   0.64   1.33   0.13   0.72  -1.77  -0.49  -0.74  -1.17  -0.68  -1.72  -1.64  -0.68  -1.01
      1.09  -0.02   0.69   1.61   0.19   0.81  -1.74  -0.43  -0.73  -1.19  -0.62  -1.73  -1.71  -0.66  -1.01
      1.11   0.04   0.76   1.77   0.30   0.91  -1.55  -0.40  -0.72  -1.22  -0.62  -1.74  -1.75  -0.64  -1.00
      1.20   0.10   0.83   1.81   0.45   1.03  -1.29  -0.34  -0.71  -1.43  -0.62  -1.75  -1.50  -0.64  -0.99
      1.28   0.27   0.91   1.96   0.61   1.15  -1.05  -0.26  -0.70  -1.52  -0.64  -1.75  -1.47  -0.66  -0.98
      1.44   0.33   0.98   2.15   0.73   1.27  -0.67  -0.26  -0.68  -1.49  -0.66  -1.74  -1.34  -0.65  -0.97
      1.33   0.54   1.06   2.11   0.89   1.40  -0.69  -0.24  -0.66  -1.55  -0.60  -1.73  -1.34  -0.64  -0.95
      1.44   0.59   1.15   2.34   0.95   1.54  -0.57  -0.23  -0.64  -1.54  -0.47  -1.72  -1.35  -0.55  -0.94
      1.39   0.70   1.23   2.33   0.98   1.67  -0.56  -0.32  -0.62  -1.41  -0.34  -1.71  -1.42  -0.46  -0.92
      1.78   0.81   1.32   2.60   1.01   1.81  -0.71  -0.34  -0.60  -1.34  -0.21  -1.69  -1.59  -0.31  -0.90
      1.76   1.15   1.41   2.59   1.02   1.96  -0.69  -0.23  -0.57  -1.21  -0.09  -1.68  -1.64  -0.11  -0.88
      1.68   1.56   1.47   2.51   1.34   2.06  -0.77  -0.10  -0.55  -1.07   0.06  -1.66  -1.64   0.08  -0.86
      1.49   1.71   1.54   2.26   1.82   2.18  -0.86   0.17  -0.52  -0.98   0.20  -1.64  -1.55   0.17  -0.84
      1.23   1.83   1.61   1.88   2.04   2.29  -0.87   0.39  -0.49  -0.81   0.25  -1.62  -1.30   0.23  -0.81
      1.22   1.87   1.67   1.73   2.34   2.39  -0.88   0.62  -0.47  -0.75   0.39  -1.59  -1.03   0.31  -0.79
      1.16   1.96   1.74   1.59   2.55   2.50  -0.59   0.69  -0.44  -0.70   0.44  -1.56  -0.67   0.16  -0.77
      0.88   1.98   1.80   1.27   2.53   2.61  -0.41   0.84  -0.42  -0.59   0.61  -1.54  -0.45   0.20  -0.74
      0.42   1.82   1.82   0.78   2.36   2.64  -0.41   0.63  -0.40  -0.69   0.68  -1.52  -0.39   0.09  -0.73
      0.36   1.97   1.83   0.56   2.19   2.67  -0.34   0.50  -0.39  -0.75   0.78  -1.49  -0.21   0.15  -0.72
      0.82   2.12   1.88   1.13   2.06   2.79   0.03   0.24  -0.37  -0.79   0.87  -1.47   0.09   0.33  -0.70
      1.17   2.20   1.92   1.46   2.05   2.88   0.36   0.05  -0.34  -0.65   1.02  -1.45   0.36   0.21  -0.69
      1.30   2.18   1.95   1.74   2.07   2.94   0.57   0.01  -0.33  -0.61   1.21  -1.43   0.32   0.42  -0.67
      0.95   2.34   2.00   1.51   2.27   3.04   0.55   0.06  -0.31  -0.58   1.21  -1.41   0.17   0.55  -0.66
      0.92   2.36   2.04   1.38   2.63   3.10   0.57  -0.02  -0.29  -0.40   1.41  -1.38   0.17   0.89  -0.64
      1.05   2.59   2.05   1.38   2.82   3.12   0.69   0.03  -0.27  -0.21   1.46  -1.36   0.28   0.90  -0.62
      1.00   2.72   2.09   1.28   2.89   3.15   0.83   0.26  -0.26  -0.11   1.52  -1.33   0.49   1.09  -0.60
      1.21   2.74   2.11   1.43   3.14   3.18   0.89   0.43  -0.26   0.07   1.41  -1.30   0.46   1.03  -0.59
      1.18   2.63   2.13   1.52   3.04   3.16   0.86   0.56  -0.26   0.27   1.29  -1.27   0.52   1.06  -0.57
      1.05   2.58   2.11   1.47   3.16   3.08   0.85   0.50  -0.27   0.36   1.36  -1.23   0.47   0.92  -0.56
      0.90   2.40   2.10   1.43   3.20   3.01   0.76   0.43  -0.28   0.36   1.17  -1.20   0.54   0.86  -0.55
      0.77   2.26   2.07   1.32   3.07   2.90   0.64   0.43  -0.29   0.27   0.86  -1.16   0.67   0.60  -0.55
      0.61   2.06   2.03   1.04   2.70   2.77   0.58   0.25  -0.31   0.09   0.51  -1.13   0.68   0.39  -0.55
      0.58   1.90   2.00   0.97   2.49   2.66   0.79   0.04  -0.32  -0.04   0.16  -1.09   0.71   0.34  -0.55
      0.50   1.77   1.97   0.86   2.35   2.53   0.70  -0.18  -0.33  -0.19  -0.16  -1.06   0.58  -0.24  -0.56
      0.30   1.69   1.96   0.80   2.26   2.43   0.56  -0.46  -0.34  -0.32  -0.34  -1.03   0.41  -0.55  -0.56
      0.43   1.48   1.91   0.66   1.91   2.29   0.61  -0.55  -0.35  -0.37  -0.46  -1.01   0.35  -0.79  -0.56
      0.64   1.40   1.93   0.71   1.76   2.25   0.63  -0.65  -0.36  -0.24  -0.65  -0.97   0.31  -0.92  -0.56
      0.70   1.29   1.87   0.76   1.56   2.09   0.70  -0.70  -0.36  -0.26  -0.82  -0.93   0.42  -1.02  -0.55
      0.64   1.14   1.84   0.79   1.31   1.99   0.81  -0.58  -0.36  -0.28  -0.89  -0.90   0.37  -1.00  -0.55
      0.54   1.05   1.80   0.82   1.13   1.87   0.76  -0.22  -0.36  -0.34  -0.89  -0.84   0.41  -0.80  -0.54
      0.34   0.96   1.78   0.86   1.02   1.79   0.81  -0.10  -0.37  -0.41  -0.80  -0.80   0.36  -0.47  -0.53
      0.46   0.93   1.76   0.95   1.00   1.71   0.82   0.06  -0.37  -0.40  -0.69  -0.74   0.33  -0.34  -0.51
      0.44   0.83   1.74   0.86   0.77   1.62   0.88   0.06  -0.37  -0.36  -0.65  -0.67   0.35  -0.27  -0.49
      0.42   0.68   1.70   0.84   0.81   1.53   0.97   0.05  -0.37  -0.04  -0.59  -0.61   0.48  -0.29  -0.47
      0.55   0.53   1.68   0.93   0.78   1.46   0.97  -0.02  -0.37  -0.04  -0.60  -0.53   0.49  -0.29  -0.44
      0.39   0.50   1.66   0.89   0.71   1.39   0.96  -0.04  -0.37   0.15  -0.62  -0.44   0.39  -0.30  -0.41
      0.60   0.44   1.64   0.98   0.68   1.32   1.07  -0.15  -0.36   0.32  -0.69  -0.34   0.48  -0.34  -0.38
      0.59   0.37   1.62   1.07   0.52   1.25   1.08  -0.23  -0.36   0.34  -0.79  -0.23   0.49  -0.45  -0.34
      0.71   0.40   1.58   1.13   0.45   1.17   1.14  -0.34  -0.36   0.39  -0.78  -0.11   0.46  -0.62  -0.30
      0.54   0.33   1.55   1.18   0.26   1.09   0.95  -0.50  -0.35   0.60  -0.64   0.01   0.50  -0.70  -0.26
      0.47   0.18   1.49   1.09   0.19   1.00   0.82  -0.74  -0.34   0.56  -0.44   0.12   0.35  -0.65  -0.21
      0.51   0.07   1.43   1.21   0.06   0.92   0.74  -0.79  -0.33   0.53  -0.29   0.23   0.19  -0.50  -0.15
      0.26  -0.02   1.35   1.06  -0.10   0.82   0.78  -0.67  -0.32   0.37  -0.25   0.30   0.23  -0.37  -0.10
      0.61  -0.14   1.27   1.18  -0.17   0.72   0.77  -0.56  -0.30   0.47  -0.12   0.35   0.20  -0.26  -0.05
      0.60  -0.22   1.23   1.05  -0.25   0.66   0.83  -0.41  -0.28   0.50  -0.06   0.36   0.30  -0.19   0.00
      0.81  -0.27   1.16   1.06  -0.25   0.57   0.57  -0.38  -0.25   0.54   0.00   0.36   0.19  -0.18   0.04
      0.68  -0.29   1.11   0.78  -0.34   0.51   0.59  -0.32  -0.23   0.46   0.11   0.33   0.17  -0.09   0.06
      0.75  -0.22   1.09   0.65  -0.39   0.47   0.55  -0.18  -0.22   0.49   0.09   0.35   0.18   0.01   0.06
      0.78  -0.25   1.04   0.60  -0.41   0.40   0.61  -0.15  -0.20   0.48   0.16   0.41   0.25   0.04   0.06
      0.86  -0.29   1.01   0.75  -0.40   0.35   0.47  -0.06  -0.20   0.33   0.36   0.48   0.33   0.12   0.06
      0.80  -0.25   0.99   0.64  -0.45   0.32   0.44   0.01  -0.21   0.30   0.43   0.58   0.32   0.15   0.05
      0.75  -0.30   0.93   0.67  -0.41   0.26   0.25   0.07  -0.23   0.14   0.43   0.63   0.17   0.21   0.04
      0.61  -0.34   0.88   0.52  -0.39   0.21  -0.04   0.02  -0.23   0.06   0.47   0.71  -0.02   0.24   0.06
      0.28  -0.28   0.84   0.36  -0.35   0.16   0.11   0.04  -0.24  -0.00   0.50   0.75  -0.08   0.26   0.05
      0.51  -0.30   0.78   0.37  -0.32   0.12   0.22   0.05  -0.25   0.17   0.46   0.77   0.12   0.19   0.05
      0.49  -0.34   0.69   0.31  -0.28   0.05   0.09   0.03  -0.25   0.14   0.44   0.80   0.01   0.16   0.06
      0.31  -0.35   0.64   0.16  -0.24   0.00   0.07  -0.09  -0.26  -0.02   0.42   0.81   0.01   0.12   0.06
      0.34  -0.27   0.56   0.23  -0.19  -0.05  -0.10  -0.14  -0.27  -0.21   0.42   0.79  -0.08   0.11   0.04
      0.21  -0.21   0.48   0.22  -0.22  -0.10  -0.15  -0.17  -0.27  -0.30   0.45   0.80  -0.09   0.12   0.04
      0.07  -0.16   0.40   0.10  -0.18  -0.15  -0.28  -0.24  -0.27  -0.50   0.41   0.77  -0.17   0.06   0.01
     -0.07  -0.14   0.31  -0.02  -0.25  -0.21  -0.48  -0.24  -0.27  -0.70   0.42   0.76  -0.14   0.06  -0.00
     -0.20  -0.11   0.24  -0.17  -0.23  -0.25  -0.58  -0.26  -0.28  -0.49   0.41   0.73  -0.28   0.04  -0.03
     -0.31  -0.09   0.16  -0.26  -0.30  -0.30  -0.97  -0.27  -0.29  -1.11   0.41   0.65  -0.94   0.03  -0.05
     -0.56  -0.11   0.09  -0.42  -0.27  -0.34  -1.08  -0.26  -0.28  -1.64   0.46   0.59  -1.09   0.03  -0.06
     -0.36  -0.15   0.01  -0.25  -0.25  -0.38  -0.84  -0.29  -0.28  -1.64   0.44   0.55  -1.12  -0.02  -0.07
     -0.69  -0.18  -0.05  -0.52  -0.23  -0.41  -0.93  -0.29  -0.28  -1.65   0.43   0.49  -1.21  -0.01  -0.09
     -0.81  -0.29  -0.11  -0.49  -0.21  -0.44  -0.79  -0.24  -0.26  -1.67   0.43   0.43  -1.11   0.01  -0.11
     -0.74  -0.30  -0.18  -0.38  -0.20  -0.47  -0.98  -0.23  -0.25  -1.65   0.50   0.37  -1.29   0.07  -0.10
     -0.78  -0.30  -0.23  -0.43  -0.13  -0.49  -1.07  -0.23  -0.23  -1.38   0.54   0.31  -1.22   0.07  -0.09
     -0.66  -0.31  -0.28  -0.45  -0.07  -0.52  -1.06  -0.30  -0.22  -1.38   0.57   0.27  -1.28   0.08  -0.07
     -0.72  -0.33  -0.31  -0.46  -0.09  -0.53  -1.18  -0.29  -0.20  -1.42   0.62   0.25  -1.38   0.14  -0.03
     -0.75  -0.23  -0.36  -0.48  -0.01  -0.56  -1.25  -0.27  -0.19  -1.42   0.68   0.23  -1.42   0.08  -0.00
     -0.58  -0.11  -0.40  -0.48   0.08  -0.57  -1.36  -0.19  -0.18  -1.45   0.68   0.24  -1.45   0.12   0.03
     -1.09  -0.12  -0.42  -0.83   0.07  -0.59  -1.50  -0.20  -0.16  -1.47   0.73   0.27  -1.44   0.12   0.07
     -1.14   0.06  -0.45  -0.95   0.06  -0.60  -1.59  -0.14  -0.16  -1.54   0.80   0.30  -1.46   0.14   0.10
     -1.16   0.17  -0.48  -1.02   0.06  -0.62  -1.43  -0.14  -0.15  -1.40   0.79   0.35  -1.40   0.22   0.14
     -0.96   0.24  -0.50  -0.92   0.14  -0.63  -1.59  -0.04  -0.15  -1.51   0.84   0.41  -1.49   0.27   0.16
     -1.10   0.21  -0.52  -1.02   0.05  -0.64  -1.61   0.07  -0.14  -1.46   0.83   0.47  -1.41   0.38   0.19
     -1.30   0.29  -0.54  -1.19   0.11  -0.65  -1.50   0.11  -0.13  -1.36   0.93   0.54  -1.42   0.45   0.21
     -1.17   0.30  -0.58  -1.14   0.07  -0.67  -1.49   0.25  -0.13  -1.44   0.97   0.61  -1.32   0.52   0.22
     -1.16   0.32  -0.61  -1.11   0.03  -0.69  -1.22   0.31  -0.14  -1.57   1.00   0.66  -1.19   0.63   0.22
     -1.08   0.45  -0.63  -1.09   0.04  -0.70  -1.28   0.37  -0.13  -1.62   1.05   0.72  -1.24   0.67   0.23
